2026-01-20T19:42:53.125159272Z [inf]  [Staking] Miner object keys: [
2026-01-20T19:43:05.371974951Z [inf]  [Staking] Raw miner data for 9Y4Cje3zzWGjT6AjNDQaFKfsaWa2bT4LB8fT93PJwG9R: {
2026-01-20T19:43:05.372030416Z [inf]  [Staking] Miner object keys: [
2026-01-20T19:43:05.374868398Z [inf]  [Staking] Stake info for 9Y4Cje3zzWGjT6AjNDQaFKfsaWa2bT4LB8fT93PJwG9R: 200 staked (raw: 200000000000), 0 pending (raw: 0)
2026-01-20T19:43:17.703344830Z [inf]  [Staking] Miner object keys: [
2026-01-20T19:43:17.703361874Z [inf]  [Staking] Stake info for 9Y4Cje3zzWGjT6AjNDQaFKfsaWa2bT4LB8fT93PJwG9R: 200 staked (raw: 200000000000), 0 pending (raw: 0)
2026-01-20T19:43:17.703471294Z [inf]  [Staking] Raw miner data for 9Y4Cje3zzWGjT6AjNDQaFKfsaWa2bT4LB8fT93PJwG9R: {
2026-01-20T19:43:25.269611388Z [inf]  [Staking] Stake info for 9Y4Cje3zzWGjT6AjNDQaFKfsaWa2bT4LB8fT93PJwG9R: 200 staked (raw: 200000000000), 0 pending (raw: 0)
2026-01-20T19:43:25.269642561Z [inf]  [Staking] Raw miner data for 9Y4Cje3zzWGjT6AjNDQaFKfsaWa2bT4LB8fT93PJwG9R: {
2026-01-20T19:43:25.269721912Z [inf]  [Staking] Miner object keys: [
2026-01-20T19:43:25.323624581Z [inf]  [Staking] Miner account GLcBpgbx... exists: true
2026-01-20T19:43:25.323629654Z [inf]  [Staking] Built stake tx for 9Y4Cje3zzWGjT6AjNDQaFKfsaWa2bT4LB8fT93PJwG9R: 900 COAL
2026-01-20T19:43:29.382298884Z [inf]  [Staking] Raw miner data for 9Y4Cje3zzWGjT6AjNDQaFKfsaWa2bT4LB8fT93PJwG9R: {
2026-01-20T19:43:29.383533479Z [inf]  [Staking] Miner object keys: [
2026-01-20T19:43:29.383575370Z [inf]  [Staking] Stake info for 9Y4Cje3zzWGjT6AjNDQaFKfsaWa2bT4LB8fT93PJwG9R: 1100 staked (raw: 1100000000000), 0 pending (raw: 0)
2026-01-20T19:43:29.393964024Z [inf]  [Staking] Verified stake: FeiZszWZeVnvSiJyrLmwRETwGEFLrSmQxifdTRDe84VsCLseGjkxMFrKwv9Hi4J8uNFjvjCJiSqFgLaHryB1nDT for 9Y4Cje3zzWGjT6AjNDQaFKfsaWa2bT4LB8fT93PJwG9R
2026-01-20T19:43:54.105071320Z [inf]  [Staking] Stake info for ALK6Zw3PYjNFhruJSa2guUBxmhKsezbNDprDRW98mJdE: 50000 staked (raw: 50000000000000), 0 pending (raw: 0)
2026-01-20T19:43:54.105074415Z [inf]  [Staking] Miner object keys: [
2026-01-20T19:43:54.105747499Z [inf]  [Staking] Raw miner data for ALK6Zw3PYjNFhruJSa2guUBxmhKsezbNDprDRW98mJdE: {
2026-01-20T19:44:32.656822241Z [inf]  [Staking] Raw miner data for ALK6Zw3PYjNFhruJSa2guUBxmhKsezbNDprDRW98mJdE: {
2026-01-20T19:44:32.659064406Z [inf]  [Staking] Miner object keys: [
2026-01-20T19:44:32.659131269Z [inf]  [Staking] Stake info for ALK6Zw3PYjNFhruJSa2guUBxmhKsezbNDprDRW98mJdE: 50000 staked (raw: 50000000000000), 0 pending (raw: 0)
2026-01-20T19:44:49.028072254Z [inf]  [Staking] Raw miner data for ALK6Zw3PYjNFhruJSa2guUBxmhKsezbNDprDRW98mJdE: {
2026-01-20T19:44:49.028158337Z [inf]  [Staking] Miner object keys: [
2026-01-20T19:44:49.028169814Z [inf]  [Staking] Stake info for ALK6Zw3PYjNFhruJSa2guUBxmhKsezbNDprDRW98mJdE: 50000 staked (raw: 50000000000000), 0 pending (raw: 0)
2026-01-20T19:45:43.210695486Z [inf]  [Staking] Raw miner data for ALK6Zw3PYjNFhruJSa2guUBxmhKsezbNDprDRW98mJdE: {
2026-01-20T19:45:43.210782637Z [inf]  [Staking] Miner object keys: [
2026-01-20T19:45:43.220293564Z [inf]  [Staking] Stake info for ALK6Zw3PYjNFhruJSa2guUBxmhKsezbNDprDRW98mJdE: 50000 staked (raw: 50000000000000), 0 pending (raw: 0)
2026-01-20T19:45:56.441669156Z [inf]  [Staking] Raw miner data for ALK6Zw3PYjNFhruJSa2guUBxmhKsezbNDprDRW98mJdE: {
2026-01-20T19:45:56.445185481Z [inf]  [Staking] Miner object keys: [
2026-01-20T19:45:56.445225735Z [inf]  [Staking] Stake info for ALK6Zw3PYjNFhruJSa2guUBxmhKsezbNDprDRW98mJdE: 50000 staked (raw: 50000000000000), 0 pending (raw: 0)
2026-01-20T19:46:53.985676283Z [inf]  [Staking] Raw miner data for ALK6Zw3PYjNFhruJSa2guUBxmhKsezbNDprDRW98mJdE: {
2026-01-20T19:46:53.988555814Z [inf]  [Staking] Stake info for ALK6Zw3PYjNFhruJSa2guUBxmhKsezbNDprDRW98mJdE: 50000 staked (raw: 50000000000000), 0 pending (raw: 0)
2026-01-20T19:46:53.988560006Z [inf]  [Staking] Miner object keys: [
2026-01-20T19:49:07.518683029Z [inf]  [Staking] Raw miner data for ALK6Zw3PYjNFhruJSa2guUBxmhKsezbNDprDRW98mJdE: {
2026-01-20T19:49:07.518790673Z [inf]  [Staking] Miner object keys: [
2026-01-20T19:49:07.518805209Z [inf]  [Staking] Stake info for ALK6Zw3PYjNFhruJSa2guUBxmhKsezbNDprDRW98mJdE: 50000 staked (raw: 50000000000000), 0 pending (raw: 0)
2026-01-20T19:52:50.814647291Z [inf]  [Staking] Raw miner data for 9Y4Cje3zzWGjT6AjNDQaFKfsaWa2bT4LB8fT93PJwG9R: {
2026-01-20T19:52:50.814712682Z [inf]  [Staking] Miner object keys: [
2026-01-20T19:53:04.961639543Z [inf]  [Staking] Raw miner data for 9Y4Cje3zzWGjT6AjNDQaFKfsaWa2bT4LB8fT93PJwG9R: {
2026-01-20T19:53:04.961792578Z [inf]  [Staking] Miner object keys: [
2026-01-20T19:53:04.961896799Z [inf]  [Staking] Stake info for 9Y4Cje3zzWGjT6AjNDQaFKfsaWa2bT4LB8fT93PJwG9R: 1100 staked (raw: 1100000000000), 0 pending (raw: 0)
2026-01-20T19:53:13.005488704Z [inf]  [Staking] Raw miner data for 9Y4Cje3zzWGjT6AjNDQaFKfsaWa2bT4LB8fT93PJwG9R: {
2026-01-20T19:53:13.005561861Z [inf]  [Staking] Miner object keys: [
2026-01-20T19:53:13.009857538Z [inf]  [Staking] Stake info for 9Y4Cje3zzWGjT6AjNDQaFKfsaWa2bT4LB8fT93PJwG9R: 1100 staked (raw: 1100000000000), 0 pending (raw: 0)
2026-01-20T19:53:32.011133060Z [inf]  [Staking] Stake info for ALK6Zw3PYjNFhruJSa2guUBxmhKsezbNDprDRW98mJdE: 50000 staked (raw: 50000000000000), 0 pending (raw: 0)
2026-01-20T19:53:32.011139416Z [inf]  [Staking] Miner object keys: [
2026-01-20T19:53:32.011188679Z [inf]  [Staking] Raw miner data for ALK6Zw3PYjNFhruJSa2guUBxmhKsezbNDprDRW98mJdE: {
2026-01-20T19:53:50.285950027Z [inf]  [Staking] Raw miner data for ALK6Zw3PYjNFhruJSa2guUBxmhKsezbNDprDRW98mJdE: {
2026-01-20T19:53:50.286010067Z [inf]  [Staking] Miner object keys: [
2026-01-20T19:53:50.286066870Z [inf]  [Staking] Stake info for ALK6Zw3PYjNFhruJSa2guUBxmhKsezbNDprDRW98mJdE: 50000 staked (raw: 50000000000000), 0 pending (raw: 0)
2026-01-20T19:54:05.132827866Z [inf]  [Staking] Raw miner data for ALK6Zw3PYjNFhruJSa2guUBxmhKsezbNDprDRW98mJdE: {
2026-01-20T22:52:00.110323955Z [inf]  [Staking] No miner account found for CnVGXJhxmBpLXJ5zBfy9pi8Q5gxMiKcZj5VVG1sspYWG
2026-01-20T22:53:28.565478698Z [inf]  [Staking] No miner account found for C6LgtQmBEjDAmiJNYPJUhRGA3a2f2YKzENSyiiiAVBr4
2026-01-20T23:01:42.222279793Z [inf]  [Staking] No miner account found for C6LgtQmBEjDAmiJNYPJUhRGA3a2f2YKzENSyiiiAVBr4
2026-01-20T23:08:03.755889886Z [inf]  [Staking] No miner account found for C6LgtQmBEjDAmiJNYPJUhRGA3a2f2YKzENSyiiiAVBr4
2026-01-20T23:08:08.011575991Z [inf]  [Staking] No miner account found for C6LgtQmBEjDAmiJNYPJUhRGA3a2f2YKzENSyiiiAVBr4
2026-01-20T23:10:13.265744875Z [inf]  [Staking] No miner account found for C6LgtQmBEjDAmiJNYPJUhRGA3a2f2YKzENSyiiiAVBr4
2026-01-20T23:10:40.418785607Z [inf]  [Staking] No miner account found for C6LgtQmBEjDAmiJNYPJUhRGA3a2f2YKzENSyiiiAVBr4
2026-01-20T23:10:40.561922921Z [inf]  [Staking] Miner account GZZ85AXV... exists: false
2026-01-20T23:10:40.565972154Z [inf]  [Staking] Creating miner account for C6LgtQmBEjDAmiJNYPJUhRGA3a2f2YKzENSyiiiAVBr4...
2026-01-20T23:10:41.405595226Z [inf]  [Staking] Built stake tx for C6LgtQmBEjDAmiJNYPJUhRGA3a2f2YKzENSyiiiAVBr4: 100 COAL
2026-01-20T23:11:07.640985217Z [inf]  [Staking] Miner object keys: [
2026-01-20T23:11:07.641032937Z [inf]  [Staking] Raw miner data for C6LgtQmBEjDAmiJNYPJUhRGA3a2f2YKzENSyiiiAVBr4: {
2026-01-20T23:11:07.641038558Z [inf]  [Staking] Stake info for C6LgtQmBEjDAmiJNYPJUhRGA3a2f2YKzENSyiiiAVBr4: 100 staked (raw: 100000000000), 0 pending (raw: 0)
2026-01-20T23:11:08.649665942Z [inf]  [Staking] Verified stake: 2gtTVjUkzHFB3WXx1ANRrPjnzvqHqH6ktRsvRpqUjdGtmBH5aTqq8mej5oZfAtL95Bw9E8NPhk2vyjruH3Zxh3xT for C6LgtQmBEjDAmiJNYPJUhRGA3a2f2YKzENSyiiiAVBr4
2026-01-20T23:12:37.076803350Z [inf]  [Staking] Raw miner data for C6LgtQmBEjDAmiJNYPJUhRGA3a2f2YKzENSyiiiAVBr4: {
2026-01-20T23:12:37.076888551Z [inf]  [Staking] Miner object keys: [
2026-01-20T23:12:37.076958965Z [inf]  [Staking] Stake info for C6LgtQmBEjDAmiJNYPJUhRGA3a2f2YKzENSyiiiAVBr4: 100 staked (raw: 100000000000), 0 pending (raw: 0)
2026-01-20T23:13:00.253787131Z [inf]  [Staking] Raw miner data for C6LgtQmBEjDAmiJNYPJUhRGA3a2f2YKzENSyiiiAVBr4: {
2026-01-20T23:13:00.253831015Z [inf]  [Staking] Miner object keys: [
2026-01-20T23:13:00.253874878Z [inf]  [Staking] Stake info for C6LgtQmBEjDAmiJNYPJUhRGA3a2f2YKzENSyiiiAVBr4: 100 staked (raw: 100000000000), 0 pending (raw: 0)
2026-01-20T23:14:45.499354513Z [inf]  [Staking] Raw miner data for C6LgtQmBEjDAmiJNYPJUhRGA3a2f2YKzENSyiiiAVBr4: {
2026-01-20T23:14:45.499422174Z [inf]  [Staking] Miner object keys: [
2026-01-20T23:14:45.499492186Z [inf]  [Staking] Stake info for C6LgtQmBEjDAmiJNYPJUhRGA3a2f2YKzENSyiiiAVBr4: 100 staked (raw: 100000000000), 0 pending (raw: 0)
2026-01-20T23:14:54.501266384Z [inf]  [Staking] Raw miner data for C6LgtQmBEjDAmiJNYPJUhRGA3a2f2YKzENSyiiiAVBr4: {
2026-01-20T23:14:54.501369200Z [inf]  [Staking] Miner object keys: [
2026-01-20T23:14:54.501424406Z [inf]  [Staking] Stake info for C6LgtQmBEjDAmiJNYPJUhRGA3a2f2YKzENSyiiiAVBr4: 100 staked (raw: 100000000000), 0 pending (raw: 0)
2026-01-20T23:14:55.470052256Z [inf]  [Staking] Miner account GZZ85AXV... exists: true
2026-01-20T23:14:55.470057624Z [inf]  [Staking] Built stake tx for C6LgtQmBEjDAmiJNYPJUhRGA3a2f2YKzENSyiiiAVBr4: 400 COAL
2026-01-20T23:15:11.682348689Z [inf]  [Staking] Raw miner data for C6LgtQmBEjDAmiJNYPJUhRGA3a2f2YKzENSyiiiAVBr4: {
2026-01-20T23:15:11.682424936Z [inf]  [Staking] Miner object keys: [
2026-01-20T23:15:11.682513470Z [inf]  [Staking] Stake info for C6LgtQmBEjDAmiJNYPJUhRGA3a2f2YKzENSyiiiAVBr4: 500 staked (raw: 500000000000), 0 pending (raw: 0)
2026-01-20T23:15:11.739734196Z [inf]  [Staking] Verified stake: 28yBex9aZfjSmcaVRfeLEWKBsGAAnacUf1hPzomDcSUBGzi1nC8dMGhoQc8cb9VXp3qXK6txzFCcLsQgwGW2LWqd for C6LgtQmBEjDAmiJNYPJUhRGA3a2f2YKzENSyiiiAVBr4
2026-01-20T23:16:05.894887782Z [inf]  [Staking] Raw miner data for C6LgtQmBEjDAmiJNYPJUhRGA3a2f2YKzENSyiiiAVBr4: {
2026-01-20T23:16:05.894939213Z [inf]  [Staking] Miner object keys: [
2026-01-20T23:16:05.894985523Z [inf]  [Staking] Stake info for C6LgtQmBEjDAmiJNYPJUhRGA3a2f2YKzENSyiiiAVBr4: 500 staked (raw: 500000000000), 0 pending (raw: 0)

2026-01-20T19:33:48.192459530Z [inf]  [Staking] Stake info for 9Y4Cje3zzWGjT6AjNDQaFKfsaWa2bT4LB8fT93PJwG9R: 100 staked (raw: 100000000000), 0 pending (raw: 0)
2026-01-20T19:34:02.157562020Z [inf]  [Staking] Stake info for ALK6Zw3PYjNFhruJSa2guUBxmhKsezbNDprDRW98mJdE: 25000 staked (raw: 25000000000000), 0 pending (raw: 0)
2026-01-20T19:35:26.163489105Z [inf]  [Staking] Stake info for ALK6Zw3PYjNFhruJSa2guUBxmhKsezbNDprDRW98mJdE: 25000 staked (raw: 25000000000000), 0 pending (raw: 0)
2026-01-20T19:35:56.630330338Z [inf]  [Staking] Stake info for ALK6Zw3PYjNFhruJSa2guUBxmhKsezbNDprDRW98mJdE: 25000 staked (raw: 25000000000000), 0 pending (raw: 0)
2026-01-20T19:37:09.236460909Z [inf]  [Staking] Stake info for ALK6Zw3PYjNFhruJSa2guUBxmhKsezbNDprDRW98mJdE: 25000 staked (raw: 25000000000000), 0 pending (raw: 0)
2026-01-20T19:37:10.169903465Z [inf]  [Staking] Stake info for ALK6Zw3PYjNFhruJSa2guUBxmhKsezbNDprDRW98mJdE: 25000 staked (raw: 25000000000000), 0 pending (raw: 0)
2026-01-20T19:37:15.517373398Z [inf]  [Staking] Stake info for ALK6Zw3PYjNFhruJSa2guUBxmhKsezbNDprDRW98mJdE: 50000 staked (raw: 50000000000000), 0 pending (raw: 0)
2026-01-20T19:38:31.802429580Z [inf]  [Staking] Stake info for ALK6Zw3PYjNFhruJSa2guUBxmhKsezbNDprDRW98mJdE: 50000 staked (raw: 50000000000000), 0 pending (raw: 0)
2026-01-20T19:39:50.151325086Z [inf]  [Staking] Stake info for 9Y4Cje3zzWGjT6AjNDQaFKfsaWa2bT4LB8fT93PJwG9R: 100 staked (raw: 100000000000), 0 pending (raw: 0)
2026-01-20T19:39:55.304463934Z [inf]  [Staking] Stake info for ALK6Zw3PYjNFhruJSa2guUBxmhKsezbNDprDRW98mJdE: 50000 staked (raw: 50000000000000), 0 pending (raw: 0)
2026-01-20T19:40:07.531778631Z [inf]  [Staking] Stake info for 9Y4Cje3zzWGjT6AjNDQaFKfsaWa2bT4LB8fT93PJwG9R: 100 staked (raw: 100000000000), 0 pending (raw: 0)
2026-01-20T19:40:14.478312017Z [inf]  [Staking] Stake info for 9Y4Cje3zzWGjT6AjNDQaFKfsaWa2bT4LB8fT93PJwG9R: 500 staked (raw: 500000000000), 0 pending (raw: 0)
